Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01460","Coconuts, in shell","2021","2021","ha","24152","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01460","Coconuts, in shell","2022","2022","ha","19372","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01460","Coconuts, in shell","2023","2023","ha","17328","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01610","Coffee, green","2020","2020","ha","844744","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01610","Coffee, green","2021","2021","ha","840112","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01610","Coffee, green","2022","2022","ha","842399","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01610","Coffee, green","2023","2023","ha","841354","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01232","Cucumbers and gherkins","2020","2020","ha","2015","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01232","Cucumbers and gherkins","2021","2021","ha","2204","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01232","Cucumbers and gherkins","2022","2022","ha","2211","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01232","Cucumbers and gherkins","2023","2023","ha","2263","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01314","Dates","2020","2020","ha","7","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01314","Dates","2021","2021","ha","10","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01314","Dates","2022","2022","ha","8","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01314","Dates","2023","2023","ha","7","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2020","2020","ha","14074","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","ha","9267","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","2022","ha","8139","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","ha","8506","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01233","Eggplants (aubergines)","2020","2020","ha","1349","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01233","Eggplants (aubergines)","2021","2021","ha","1380","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01233","Eggplants (aubergines)","2022","2022","ha","1195","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01233","Eggplants (aubergines)","2023","2023","ha","1339","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01315","Figs","2020","2020","ha","125","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01315","Figs","2021","2021","ha","119","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01315","Figs","2022","2022","ha","110","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01315","Figs","2023","2023","ha","101","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01330","Grapes","2020","2020","ha","2499","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01330","Grapes","2021","2021","ha","2912","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01330","Grapes","2022","2022","ha","3016","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01330","Grapes","2023","2023","ha","2984","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01252","Green garlic","2020","2020","ha","647","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01252","Green garlic","2021","2021","ha","584","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01252","Green garlic","2022","2022","ha","707","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01252","Green garlic","2023","2023","ha","787","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0142","Groundnuts, excluding shelled","2020","2020","ha","1664","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0142","Groundnuts, excluding shelled","2021","2021","ha","1738","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0142","Groundnuts, excluding shelled","2022","2022","ha","1805","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0142","Groundnuts, excluding shelled","2023","2023","ha","1698","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01322","Lemons and limes","2020","2020","ha","22704","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01322","Lemons and limes","2021","2021","ha","37544","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01322","Lemons and limes","2022","2022","ha","41655","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01322","Lemons and limes","2023","2023","ha","41479","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01704","Lentils, dry","2020","2020","ha","4489","I","Imputed value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01704","Lentils, dry","2021","2021","ha","4597","I","Imputed value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01704","Lentils, dry","2022","2022","ha","4541","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01704","Lentils, dry","2023","2023","ha","4542","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01214","Lettuce and chicory","2020","2020","ha","4909","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01214","Lettuce and chicory","2021","2021","ha","5246","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01214","Lettuce and chicory","2022","2022","ha","5072","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01214","Lettuce and chicory","2023","2023","ha","4892","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","345069","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","388901","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","462626","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","473192","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2020","2020","ha","46170","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2021","2021","ha","48999","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2022","2022","ha","50154","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2023","2023","ha","49397","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01950.01","Natural rubber in primary forms","2020","2020","ha","31600","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01950.01","Natural rubber in primary forms","2021","2021","ha","19170","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01950.01","Natural rubber in primary forms","2022","2022","ha","19200","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01950.01","Natural rubber in primary forms","2023","2023","ha","19872","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0117","Oats","2020","2020","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0117","Oats","2021","2021","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0117","Oats","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0117","Oats","2023","2023","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01491.01","Oil palm fruit","2020","2020","ha","478045","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01491.01","Oil palm fruit","2021","2021","ha","482649","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01491.01","Oil palm fruit","2022","2022","ha","487076","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01491.01","Oil palm fruit","2023","2023","ha","502624","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","ha","27817","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","ha","26439","A","Official figure",""
